Displacement,Force
0.0,0.0
1.0e-5,1.2727569127380168e6
2.0e-5,2.5443440133350547e6
3.0000000000000004e-5,3.8135890185804977e6
4.0e-5,5.079314227842409e6
5.0e-5,6.340334195873709e6
6.0e-5,7.595450763033841e6
7.000000000000001e-5,8.84344645831294e6
8.0e-5,1.0083079121141445e7
9.0e-5,1.1313066067108657e7
0.0001,1.2532067130148733e7
0.00011,1.3738654360186426e7
0.00012,1.4931220486266982e7
0.00013000000000000002,1.6107943137420364e7
0.00014000000000000001,1.7266526813940346e7
0.00015000000000000001,1.8403622202403497e7
0.00016,1.9513047615064804e7
0.00016500000000000003,1.9963673076229997e7
0.00016800000000000002,2.030178746126637e7
0.0001698,2.0498563151961498e7
0.00017088000000000002,2.0606903392340526e7
